anuncio/propriedade,tipo,CÓDIGO,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes),N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_EXCLUS_RESIDENCIAL,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_VAGOS_TOTAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_VEND_ARRE,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OUTR_MOTIVOS,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_INDIVIDUOS,N_INDIVIDUOS_0A14,N_INDIVIDUOS_15A24,N_INDIVIDUOS_25A64,N_INDIVIDUOS_65_OU_MAIS,N_INDIVIDUO_ENSINCOMP_NENHUM,N_INDIVIDUO_ENSINCOMP_1BAS,N_INDIVIDUO_ENSINCOMP_2BAS,N_INDIVIDUO_ENSINCOMP_3BAS,N_INDIVIDUO_ENSINCOMP_SEC_E_POSSEC,N_INDIVIDUO_ENSINCOMP_SUP,N_INDIVIDUOS_COM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_SEM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_EMPREGADOS,N_INDIVIDUOS_DESEMPREGADOS_1EMP,N_INDIVIDUOS_DESEMPREGADOS_NOVOEMP,N_INDIVIDUOS_REFORMADOS,N_INDIVIDUOS_NAC_ESTRANGEIRA,RENDA BRUTA ANUAL 
Apartment in Benfica,Apartamento,110608,BENFICA,LISBOA,LISBOA,97.0,2150,1050,350,1093,2274,20892,2434,998,1436,9441,5877,35362,4101,3193,17593,10475,3736,5285,2489,4844,7051,11957,15811,19551,14590,136,1085,9824,2116,13415.0
Apartamento T2 mobilado no Parque dos Príncipes com lugar de parqueame,Apartamento,110618,LUMIAR,LISBOA,LISBOA,100.0,2000,466,318,1116,1714,24100,2030,887,1143,13204,4864,46334,6790,5154,24701,9689,5303,4157,2687,4546,7443,22198,23021,23313,21651,129,1241,8634,2356,13415.0
Arrendamento de T2 – Zona do Tribunal e Parque Municipal – Montijo,Apartamento,150710,MONTIJO,MONTIJO,SETUBAL,73.0,850,4418,1039,1015,6391,20209,2259,1116,1143,10926,4699,41404,7085,4306,22932,7081,6072,6167,3661,6666,10580,8258,20730,20674,18731,191,1808,6978,3837,9007.0
Apartamento T2 Novo c/ Vistas Rio na Afurada,Apartamento,131730,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,122.0,1980,3993,971,602,5416,18398,2239,1111,1128,8291,5634,34032,4130,3151,19241,7510,3770,6363,3425,5134,7546,7794,16809,17223,14725,191,1893,7450,2110,8928.0
"Excelente T1, a 220 m do Metro Marquês, Porto, Cedofeita",Apartamento,131217,CEDOFEITA,PORTO,PORTO,54.0,1100,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
T2 Mobilado + Garag. Pingo Doce. R. República. Disponível a 25 Março,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,95.0,800,3756,1963,508,6155,19130,2430,1759,671,5118,2444,18386,1935,1732,9256,5463,1956,3221,1583,2973,4325,4328,7960,10426,7167,76,717,5213,1312,9400.0
T2 junto ao Liceu - Escolas e Parque Verde,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,100.0,800,3756,1963,508,6155,19130,2430,1759,671,5118,2444,18386,1935,1732,9256,5463,1956,3221,1583,2973,4325,4328,7960,10426,7167,76,717,5213,1312,9400.0
Apartamento T1 totalmente remodelado nas Avenidas Novas,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,45.0,1300,122,460,1177,1416,14812,2258,1034,1224,5008,4488,23261,3047,2480,12276,5458,2595,1875,1130,2172,3925,11564,11421,11840,10761,62,598,4727,2318,13415.0
"Apartamento T2 em São Marcos, Cacém",Apartamento,111124,CACEM,SINTRA,LISBOA,90.0,1000,755,378,774,1815,18133,1381,370,1011,10968,4017,39683,6238,5257,23018,5170,4973,5277,3943,7651,12089,5750,21609,18074,19599,193,1817,5134,4826,9057.0
Apartamento T2 para arrendamento,Apartamento,110656,ARROIOS,LISBOA,LISBOA,67.7,1450,271,1150,1532,2362,20906,3890,1559,2331,6130,7674,33302,3456,3135,20036,6675,3945,3450,1702,3726,7224,13255,17939,15363,16499,101,1339,5987,7770,13415.0
