anuncio/propriedade,tipo,CÓDIGO,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes)
Apartment in Benfica,Apartamento,110608,BENFICA,LISBOA,LISBOA,97.0,2150
Apartamento T2 mobilado no Parque dos Príncipes com lugar de parqueame,Apartamento,110618,LUMIAR,LISBOA,LISBOA,100.0,2000
Arrendamento de T2 – Zona do Tribunal e Parque Municipal – Montijo,Apartamento,150710,MONTIJO,MONTIJO,SETUBAL,73.0,850
Apartamento T2 Novo c/ Vistas Rio na Afurada,Apartamento,131730,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,122.0,1980
"Excelente T1, a 220 m do Metro Marquês, Porto, Cedofeita",Apartamento,131217,CEDOFEITA,PORTO,PORTO,54.0,1100
T2 Mobilado + Garag. Pingo Doce. R. República. Disponível a 25 Março,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,95.0,800
T2 junto ao Liceu - Escolas e Parque Verde,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,100.0,800
Apartamento T1 totalmente remodelado nas Avenidas Novas,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,45.0,1300
"Apartamento T2 em São Marcos, Cacém",Apartamento,111124,CACEM,SINTRA,LISBOA,90.0,1000
Apartamento T2 para arrendamento,Apartamento,110656,ARROIOS,LISBOA,LISBOA,67.7,1450
"Apartamento T1 no Pai do Vento, Cascais",Apartamento,110501,ALCABIDECHE,CASCAIS,LISBOA,67.0,1000
T3 Guimarães - como novo,Apartamento,30871,URGEZES,GUIMARAES,BRAGA,140.0,1070
Andar moradia t3 mobilado na Rua do Lidador em Aldoar com jardim e box,Apartamento,131216,ALDOAR,PORTO,PORTO,120.0,1800
Apartamento T2 para arrendamento,Apartamento,110618,LUMIAR,LISBOA,LISBOA,100.0,2300
Apartamento T3 para arrendamento,Apartamento,110726,MOSCAVIDE,LOURES,LISBOA,133.0,1600
Apartamento T1 para arrendamento,Apartamento,131210,PARANHOS,PORTO,PORTO,66.0,1050
T1 com varanda junto ao estadio de Luz,Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,61.2,1500
Apartamento T3 para arrendamento,Apartamento,111413,ALVERCA DO RIBATEJO,VILA FRANCA DE XIRA,LISBOA,119.4,1650
Arrendamento T0 com 40m2 na Rua Santa Catarina,Apartamento,131217,CEDOFEITA,PORTO,PORTO,40.0,900
Moradia T4 para arrendamento,Moradia,61509,SOURE,SOURE,COIMBRA,146.0,600
Apartamento T2 para arrendamento,Apartamento,111014,OEIRAS,OEIRAS,LISBOA,88.0,1550
T3 Real BRAGA (Parretas),Apartamento,30379,REAL,BRAGA,BRAGA,116.0,1000
Apartamento T2 - a 100 m do mar COSTA NOVA!,Apartamento,11005,GAFANHA DA ENCARNACAO,ILHAVO,AVEIRO,80.0,1000
"Apartamento T1, junto ao Hospital de S. João",Apartamento,130617,PEDROUCOS,MAIA,PORTO,65.0,1100
"Apartamento T3 totalmente remodelado, para arrendamento no Lumiar.",Apartamento,110618,LUMIAR,LISBOA,LISBOA,105.0,1650
Arrendamento T3 em Santa Marta do Pinhal,Apartamento,151005,CORROIOS,SEIXAL,SETUBAL,104.0,1250
Apartamento T1 para arrendamento,Apartamento,311003,SAO VICENTE,SAO VICENTE,LISBOA,62.73,1600
Apartamento T2 com garagem em zona da Lousã,Apartamento,60708,LOUSA,LOUSA,COIMBRA,80.0,650
Apartamento T1 para arrendamento,Apartamento,131217,CEDOFEITA,PORTO,PORTO,74.0,800
Apartamento T2+1 | Arrendamento | Renovado | Av. França | Garagem | Me,Apartamento,131217,CEDOFEITA,PORTO,PORTO,107.0,1800
"Casa T1 mobilado, Junto ao Rio Douro, Marina de Caldas de Aregos",Apartamento,181316,ANREADE,RESENDE,VISEU,34.0,600
T1+1 Totalmente Renovado com terraço,Apartamento,110607,BEATO,LISBOA,LISBOA,54.0,1350
