anuncio/propriedade,tipo,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes)
Apartment in Benfica,Apartamento,BENFICA,LISBOA,LISBOA,97.0,2150
Apartamento T2 mobilado no Parque dos Príncipes com lugar de parqueame,Apartamento,LUMIAR,LISBOA,LISBOA,100.0,2000
Arrendamento de T2 – Zona do Tribunal e Parque Municipal – Montijo,Apartamento,MONTIJO,MONTIJO,SETUBAL,73.0,850
Apartamento T2 Novo c/ Vistas Rio na Afurada,Apartamento,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,122.0,1980
"Excelente T1, a 220 m do Metro Marquês, Porto, Cedofeita",Apartamento,CEDOFEITA,PORTO,PORTO,54.0,1100
T2 Mobilado + Garag. Pingo Doce. R. República. Disponível a 25 Março,Apartamento,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,95.0,800
T2 junto ao Liceu - Escolas e Parque Verde,Apartamento,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,100.0,800
Apartamento T1 totalmente remodelado nas Avenidas Novas,Apartamento,AVENIDAS NOVAS,LISBOA,LISBOA,45.0,1300
"Apartamento T2 em São Marcos, Cacém",Apartamento,CACEM,SINTRA,LISBOA,90.0,1000
Apartamento T2 para arrendamento,Apartamento,ARROIOS,LISBOA,LISBOA,67.7,1450
"Apartamento T1 no Pai do Vento, Cascais",Apartamento,ALCABIDECHE,CASCAIS,LISBOA,67.0,1000
T3 Guimarães - como novo,Apartamento,URGEZES,GUIMARAES,BRAGA,140.0,1070
Andar moradia t3 mobilado na Rua do Lidador em Aldoar com jardim e box,Apartamento,ALDOAR,PORTO,PORTO,120.0,1800
Apartamento T2 para arrendamento,Apartamento,LUMIAR,LISBOA,LISBOA,100.0,2300
Apartamento T3 para arrendamento,Apartamento,MOSCAVIDE,LOURES,LISBOA,133.0,1600
Apartamento T1 para arrendamento,Apartamento,PARANHOS,PORTO,PORTO,66.0,1050
T1 com varanda junto ao estadio de Luz,Apartamento,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,61.2,1500
Apartamento T3 para arrendamento,Apartamento,ALVERCA DO RIBATEJO,VILA FRANCA DE XIRA,LISBOA,119.4,1650
Arrendamento T0 com 40m2 na Rua Santa Catarina,Apartamento,CEDOFEITA,PORTO,PORTO,40.0,900
Moradia T4 para arrendamento,Moradia,SOURE,SOURE,COIMBRA,146.0,600
Apartamento T2 para arrendamento,Apartamento,OEIRAS,OEIRAS,LISBOA,88.0,1550
T3 Real BRAGA (Parretas),Apartamento,REAL,BRAGA,BRAGA,116.0,1000
Apartamento T2 - a 100 m do mar COSTA NOVA!,Apartamento,GAFANHA DA ENCARNACAO,ILHAVO,AVEIRO,80.0,1000
Quinta do Anjo/ Portais da Arrábida - Apartamento de 3 assoalhadas com,Apartamento,AZEITAO,SETUBAL ,SETUBAL,98.0,800
"Apartamento T1, junto ao Hospital de S. João",Apartamento,PEDROUCOS,MAIA,PORTO,65.0,1100
"Apartamento T3 totalmente remodelado, para arrendamento no Lumiar.",Apartamento,LUMIAR,LISBOA,LISBOA,105.0,1650
Arrendamento T3 em Santa Marta do Pinhal,Apartamento,CORROIOS,SEIXAL,SETUBAL,104.0,1250
Apartamento T1 para arrendamento,Apartamento,SAO VICENTE,SAO VICENTE,LISBOA,62.73,1600
Apartamento T2 com garagem em zona da Lousã,Apartamento,LOUSA,LOUSA,COIMBRA,80.0,650
Apartamento T1 para arrendamento,Apartamento,CEDOFEITA,PORTO,PORTO,74.0,800
Apartamento T2+1 | Arrendamento | Renovado | Av. França | Garagem | Me,Apartamento,CEDOFEITA,PORTO,PORTO,107.0,1800
"Casa T1 mobilado, Junto ao Rio Douro, Marina de Caldas de Aregos",Apartamento,ANREADE,RESENDE,VISEU,34.0,600
T1+1 Totalmente Renovado com terraço,Apartamento,BEATO,LISBOA,LISBOA,54.0,1350
Apartamento T3 Duplex na Cooperativa Arquitetos em Aldoar,Apartamento,ALDOAR,PORTO,PORTO,149.0,1575
Apartamento T1 para arrendamento,Apartamento,AREEIRO,LISBOA,LISBOA,65.85,1700
T1 renovado no Alto da Pampilheira para arrendamento,Apartamento,CASCAIS,CASCAIS,LISBOA,45.0,1500
T2 Prq dos Principes - Arrendamento,Apartamento,LUMIAR,LISBOA,LISBOA,108.0,1700
Apartamento T2 | Telheiras Centro,Apartamento,LUMIAR,LISBOA,LISBOA,77.0,1500
"Apartamento T3, quarto andar, Av. Dr. Lourenço Peixinho, Aveiro",Apartamento,GLORIA,AVEIRO,AVEIRO,87.17,1350
Arrendamento de curta e ou média duração,Apartamento,COSTA DA CAPARICA,ALMADA,SETUBAL,55.0,850
Arrendo moradia independente,Moradia,OLIVEIRA DO DOURO,VILA NOVA DE GAIA,PORTO,130.0,850
Apartamento em Buarcos,Apartamento,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,65.0,640
T2+1 na Povoa de Varzim para professores -Junto às Escolas,Apartamento,POVOA DE VARZIM,POVOA DE VARZIM,PORTO,100.0,600
Centro Maia,Apartamento,CIDADE DA MAIA,MAIA,PORTO,65.0,750
Alugo t2 na zona do Porto,Apartamento,PEDROUCOS,MAIA,PORTO,40.0,800
Arrendo Casa em Fafe,Moradia,QUINCHAES,FAFE,BRAGA,300.0,550
"Apartamento tipo T3, para arrendar.",Apartamento,BRAGA,BRAGA,BRAGA,150.0,800
Casinha t2 para alugar,Moradia,LAMEGO,LAMEGO,VISEU,70.0,350
"T0 mobiliado e equipado em Paço d'arcos, Oeiras",Apartamento,OEIRAS,OEIRAS,LISBOA,50.0,800
T3 em Telheiras,Apartamento,LUMIAR,LISBOA,LISBOA,120.0,2100
T2 mobiliado no centro de Macedo,Apartamento,MACEDO DE CAVALEIROS,MACEDO DE CAVALEIROS,BRAGANCA,70.0,330
T1 Férias Edifício Panoramic parque das nações/ curta duração,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,70.0,1500
"Apartamento equipado, muito perto dos transportes, em Cacilhas.",Apartamento,ALMADA,ALMADA,SETUBAL,60.0,1100
Apartamento T3 Carnaxide,Apartamento,CARNAXIDE,OEIRAS,LISBOA,120.0,1250
Apartamento T2 para arrendamento,Apartamento,CARCAVELOS,CASCAIS,LISBOA,69.5,800
"Apartamento T2 novo com terraço privado no Cond. Rouxinóis, Esposende",Apartamento,ESPOSENDE,MARINHAS,BRAGA,70.0,1100
Arrendamento / Apartamento T3 / Terraço / Bombarral,Apartamento,BOMBARRAL,BOMBARRAL,LEIRIA,170.0,1100
T3 pronto habitar no Aviz - Porto,Apartamento,ALDOAR,PORTO,PORTO,114.0,1700
T4 | Av. Defensores de Chaves,Apartamento,AVENIDAS NOVAS,LISBOA,LISBOA,100.0,1500
T1  Flat  Apartamento  Campo Valongo Gandra junto Cespu,Apartamento,GANDRA,PAREDES,PORTO,65.0,650
"Arremda-se T0, canal de S. Roque junto ao Rossio em Aveiro",Apartamento,GLORIA,AVEIRO,AVEIRO,45.0,750
Apartamento T2 para arrendamento no centro de Caneças,Apartamento,RAMADA,ODIVELAS,LISBOA,62.0,850
T1 KIT Paranhos - Polo Univ. Igreja / Metro,Apartamento,PARANHOS,PORTO,PORTO,55.0,625
Apartamento T1 em Lordelo do Ouro,Apartamento,LORDELO DO OURO,PORTO,PORTO,50.0,950
Apartamentos T0 - totalmente equipados - Centro Braga,Apartamento,BRAGA,BRAGA,BRAGA,30.0,750
Arrenda-se T3 em Caramos-Felgueiras,Apartamento,AIRAES,FELGUEIRAS,PORTO,100.0,550
Apartamento T2 para arrendamento,Apartamento,POMBAL,POMBAL,LEIRIA,86.0,600
Apartamento T1 em Caselas,Apartamento,BELEM,LISBOA,LISBOA,30.0,1000
"Quintinha de Charme para arrendar com Moradia T4,  jardim e piscina  .",Moradia,CASCAIS,CASCAIS,LISBOA,332.0,9500
"Arrendamento TOP! Apartamento 4 quartos, 171m2 área, varanda, cozinha",Apartamento,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,171.0,3900
Arrenda-se Excelente T3 Mobillado ao Palacio de Cristal,Apartamento,LORDELO DO OURO,PORTO,PORTO,116.0,1600
Moradia T3 para arrendamento,Moradia,CHARNECA DE CAPARICA,ALMADA,SETUBAL,179.0,1650
Estúdio Totalmente Renovado na Urbanização Padrão da Légua,Apartamento,CUSTOIAS,LECA DO BALIO,PORTO,40.0,500
"Apartamento T1 em Lisboa de 76,00 m2",Apartamento,TURCIFAL,TORRES VEDRAS,LISBOA,76.0,1200
T2 com terraço na Pontinha,Apartamento,PONTINHA,ODIVELAS,LISBOA,90.0,1200
T2+1 Centro Vagos,Apartamento,VAGOS,VAGOS,AVEIRO,83.0,650
Apartamento todo Renovado,Apartamento,PONTINHA,ODIVELAS,LISBOA,60.0,800
"T2 Remodulado como novo, c/ lugar garagem, 1050€",Apartamento,CANELAS,VILA NOVA DE GAIA,PORTO,60.0,1050
Apartamento T1 renovado no centro de Lisboa ao lado Hospital c/terraço,Apartamento,AVENIDAS NOVAS,LISBOA,LISBOA,50.0,1200
