anuncio/propriedade,tipo,freguesia,concelho,distrito,area(m²),valor renda(€/mes)
Alugo loja no centro historico,Escritório,Desconhecido,Vila do Conde,Porto,110.0,350
Transpasse,Loja,Albufeira e Olhos de Água,Albufeira,Faro,160.0,18000
Loja arrenda-se Alenquer,Escritório,Alenquer (Santo Estêvão e Triana),Alenquer,Lisboa,70.0,450
Apartment in Benfica,Apartamento,Desconhecido,Benfica,Lisboa,97.0,2150
Apartamento T2 mobilado no Parque dos Príncipes com lugar de parqueame,Apartamento,Desconhecido,Lumiar,Lisboa,100.0,2000
Arrendamento de T2 – Zona do Tribunal e Parque Municipal – Montijo,Apartamento,Montijo e Afonsoeiro,Montijo,Setúbal,73.0,850
Apartamento T2 Novo c/ Vistas Rio na Afurada,Apartamento,Santa Marinha e São Pedro da Afurada,Vila Nova de Gaia,Porto,122.0,1980
"Excelente T1, a 220 m do Metro Marquês, Porto, Cedofeita",Apartamento,Cedofeita,Santo Ildefonso,"Sé, Miragaia, São Nicolau e Vitória, Porto",54.0,1100
T2 Mobilado + Garag. Pingo Doce. R. República. Disponível a 25 Março,Apartamento,Buarcos e São Julião,Figueira da Foz,Coimbra,95.0,800
T2 junto ao Liceu - Escolas e Parque Verde,Apartamento,Buarcos e São Julião,Figueira da Foz,Coimbra,100.0,800
Apartamento T1 totalmente remodelado nas Avenidas Novas,Apartamento,Desconhecido,Avenidas Novas,Lisboa,45.0,1300
"Apartamento T2 em São Marcos, Cacém",Apartamento,Cacém e São Marcos,Sintra,Lisboa,90.0,1000
Apartamento T2 para arrendamento,Apartamento,Desconhecido,Arroios,Lisboa,67.7,1450
"Apartamento T1 no Pai do Vento, Cascais",Apartamento,Alcabideche,Cascais,Lisboa,67.0,1000
T3 Guimarães - como novo,Apartamento,Urgezes,Guimarães,Braga,140.0,1070
Andar moradia t3 mobilado na Rua do Lidador em Aldoar com jardim e box,Apartamento,Aldoar,Foz do Douro e Nevogilde,Porto,120.0,1800
Apartamento T2 para arrendamento,Apartamento,Desconhecido,Lumiar,Lisboa,100.0,2300
Apartamento T3 para arrendamento,Apartamento,Moscavide e Portela,Loures,Lisboa,133.0,1600
Apartamento T1 para arrendamento,Apartamento,Desconhecido,Paranhos,Porto,66.0,1050
T1 com varanda junto ao estadio de Luz,Apartamento,Desconhecido,São Domingos de Benfica,Lisboa,61.2,1500
Apartamento T3 para arrendamento,Apartamento,Alverca do Ribatejo e Sobralinho,Vila Franca de Xira,Lisboa,119.4,1650
Arrendamento T0 com 40m2 na Rua Santa Catarina,Apartamento,Cedofeita,Santo Ildefonso,"Sé, Miragaia, São Nicolau e Vitória, Porto",40.0,900
Moradia T4 para arrendamento,Moradia,Desconhecido,Soure,Coimbra,146.0,600
Apartamento T2 para arrendamento,Apartamento,Oeiras e São Julião da Barra,Paço de Arcos e Caxias,"Oeiras, Lisboa",88.0,1550
Espaço Comercial em São Mamede Infesta para arrendar.,Loja,São Mamede de Infesta e Senhora da Hora,Matosinhos,Porto,89.0,650
Escritório na Av. Columbano Bordalo Pinheiro - Sete Rios,Escritório,Desconhecido,São Domingos de Benfica,Lisboa,329.0,4900
T3 Real BRAGA (Parretas),Apartamento,Real,Dume e Semelhe,Braga,116.0,1000
Apartamento T2 - a 100 m do mar COSTA NOVA!,Apartamento,Gafanha da Encarnação,Ílhavo,Aveiro,80.0,1000
Quinta do Anjo/ Portais da Arrábida - Apartamento de 3 assoalhadas com,Apartamento,Desconhecido,Azeitão (São Lourenço e São Simão),Setúbal,98.0,800
"Apartamento T1, junto ao Hospital de S. João",Apartamento,Pedrouços,Maia,Porto,65.0,1100
