DISTRITO,Número de Estrangeiros residentes em 2020,% face ao total de estrangeiros residentes 2020,Variação 2019-2020 (%),Número de Estrangeiros residentes em 2021,% face ao total de estrangeiros residentes 2021,Variação 2020-2021 (%)
LISBOA,285570,43.1,9.6,294736,43.1,3.2
FARO,103565,15.6,11.8,105142,15.4,1.5
SETUBAL,60939,9.2,17.2,66901,9.8,9.8
PORTO,50238,7.6,18.6,55473,8.1,10.4
LEIRIA,24788,3.7,15.6,26952,3.9,8.7
BRAGA,21113,3.2,15.8,23619,3.5,11.9
AVEIRO,18517,2.8,12.0,20395,3.0,10.1
COIMBRA,17028,2.6,9.6,17565,2.6,3.2
SANTAREM,16378,2.5,15.5,18255,2.7,11.5
BEJA,14095,2.1,15.8,15953,2.3,13.2
CASTELO BRANCO,6717,1.0,14.1,7006,1.0,3.1
VISEU,6503,1.0,18.4,7288,1.1,11.7
VIANA DO CASTELO,6167,0.9,28.8,7505,1.1,20.6
EVORA,4802,0.7,6.6,4903,0.7,1.6
BRAGANCA,4036,0.6,-3.0,3856,0.6,-3.7
PORTALEGRE,2756,0.4,8.8,2881,0.4,3.1
VILA REAL,2731,0.4,6.1,2887,0.4,3.9
GUARDA,2607,0.4,8.7,2685,0.4,2.8
